scenario_name,lookback_cycles,horizon,model,val_RMSE_mean,val_RMSE_std,val_RMSE_min,val_RMSE_max,val_MAE_mean,val_MAE_std,val_MAE_min,val_MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,val_RMSE_gap_vs_persistence_mean,val_RMSE_gap_vs_persistence_std,val_RMSE_gap_vs_persistence_min,val_RMSE_gap_vs_persistence_max,val_MAE_gap_vs_persistence_mean,val_MAE_gap_vs_persistence_std,val_MAE_gap_vs_persistence_min,val_MAE_gap_vs_persistence_max,RMSE_gap_vs_persistence_mean,RMSE_gap_vs_persistence_std,RMSE_gap_vs_persistence_min,RMSE_gap_vs_persistence_max,MAE_gap_vs_persistence_mean,MAE_gap_vs_persistence_std,MAE_gap_vs_persistence_min,MAE_gap_vs_persistence_max,val_RMSE_ratio_vs_persistence_mean,val_RMSE_ratio_vs_persistence_std,val_RMSE_ratio_vs_persistence_min,val_RMSE_ratio_vs_persistence_max,RMSE_ratio_vs_persistence_mean,RMSE_ratio_vs_persistence_std,RMSE_ratio_vs_persistence_min,RMSE_ratio_vs_persistence_max,train_samples_mean,train_samples_std,train_samples_min,train_samples_max,val_samples_mean,val_samples_std,val_samples_min,val_samples_max,test_samples_mean,test_samples_std,test_samples_min,test_samples_max,n_trials
lookback_5_horizon_100,5,100,persistence,0.1034038040569196,,0.1034038040569196,0.1034038040569196,0.0491809961009851,,0.0491809961009851,0.0491809961009851,0.1094088577792695,,0.1094088577792695,0.1094088577792695,0.0705476702568044,,0.0705476702568044,0.0705476702568044,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,9301.0,,9301,9301,1993.0,,1993,1993,1993.0,,1993,1993,1
lookback_10_horizon_10,10,10,cpmlp_cpdsconv_fusion,0.0159537855058272,,0.0159537855058272,0.0159537855058272,0.0064287452718223,,0.0064287452718223,0.0064287452718223,0.0165750489536562,,0.0165750489536562,0.0165750489536562,0.0077793521169443,,0.0077793521169443,0.0077793521169443,-0.0009960729298425994,,-0.0009960729298425994,-0.0009960729298425994,-0.0008730853150669994,,-0.0008730853150669994,-0.0008730853150669994,-0.0012506178193958974,,-0.0012506178193958974,-0.0012506178193958974,-0.0010239760607305996,,-0.0010239760607305996,-0.0010239760607305996,0.941234144602268,,0.941234144602268,0.941234144602268,0.929841736900046,,0.929841736900046,0.929841736900046,10337.0,,10337,10337,2213.0,,2213,2213,2213.0,,2213,2213,1
lookback_10_horizon_10,10,10,cpmlp_dsconv_fusion,0.0160299486252282,,0.0160299486252282,0.0160299486252282,0.0060724134338532,,0.0060724134338532,0.0060724134338532,0.016388652994153,,0.016388652994153,0.016388652994153,0.0072749833194677,,0.0072749833194677,0.0072749833194677,-0.0009199098104415993,,-0.0009199098104415993,-0.0009199098104415993,-0.0012294171530360994,,-0.0012294171530360994,-0.0012294171530360994,-0.0014370137788990989,,-0.0014370137788990989,-0.0014370137788990989,-0.0015283448582071998,,-0.0015283448582071998,-0.0015283448582071998,0.9457275815055946,,0.9457275815055946,0.9457275815055946,0.9193851317207667,,0.9193851317207667,0.9193851317207667,10337.0,,10337,10337,2213.0,,2213,2213,2213.0,,2213,2213,1
lookback_10_horizon_10,10,10,cpgru,0.0160358200070221,,0.0160358200070221,0.0160358200070221,0.0063021833534107,,0.0063021833534107,0.0063021833534107,0.0166792398876975,,0.0166792398876975,0.0166792398876975,0.007467217907525,,0.007467217907525,0.007467217907525,-0.0009140384286476996,,-0.0009140384286476996,-0.0009140384286476996,-0.0009996472334785995,,-0.0009996472334785995,-0.0009996472334785995,-0.0011464268853545977,,-0.0011464268853545977,-0.0011464268853545977,-0.0013361102701498996,,-0.0013361102701498996,-0.0013361102701498996,0.9460739786047906,,0.9460739786047906,0.9460739786047906,0.9356867319494772,,0.9356867319494772,0.9356867319494772,10337.0,,10337,10337,2213.0,,2213,2213,2213.0,,2213,2213,1
lookback_10_horizon_10,10,10,cpmlp_cpgru_fusion,0.016115442018298,,0.016115442018298,0.016115442018298,0.006123901032992,,0.006123901032992,0.006123901032992,0.0166591947059828,,0.0166591947059828,0.0166591947059828,0.0074402392710152,,0.0074402392710152,0.0074402392710152,-0.0008344164173718013,,-0.0008344164173718013,-0.0008344164173718013,-0.0011779295538972999,,-0.0011779295538972999,-0.0011779295538972999,-0.0011664720670692998,,-0.0011664720670692998,-0.0011664720670692998,-0.0013630889066596997,,-0.0013630889066596997,-0.0013630889066596997,0.9507714816298507,,0.9507714816298507,0.9507714816298507,0.9345622196397887,,0.9345622196397887,0.9345622196397887,10337.0,,10337,10337,2213.0,,2213,2213,2213.0,,2213,2213,1
lookback_10_horizon_10,10,10,cpmlp,0.0161300703794313,,0.0161300703794313,0.0161300703794313,0.0059137937915416,,0.0059137937915416,0.0059137937915416,0.0166690338468711,,0.0166690338468711,0.0166690338468711,0.0073296841043748,,0.0073296841043748,0.0073296841043748,-0.0008197880562385018,,-0.0008197880562385018,-0.0008197880562385018,-0.0013880367953476996,,-0.0013880367953476996,-0.0013880367953476996,-0.0011566329261809977,,-0.0011566329261809977,-0.0011566329261809977,-0.0014736440733001,,-0.0014736440733001,-0.0014736440733001,0.9516345189931903,,0.9516345189931903,0.9516345189931903,0.9351141844562284,,0.9351141844562284,0.9351141844562284,10337.0,,10337,10337,2213.0,,2213,2213,2213.0,,2213,2213,1
lookback_10_horizon_10,10,10,cpdsconv,0.0162176603249749,,0.0162176603249749,0.0162176603249749,0.0062207521368247,,0.0062207521368247,0.0062207521368247,0.0162998665374752,,0.0162998665374752,0.0162998665374752,0.0069286911304361,,0.0069286911304361,0.0069286911304361,-0.000732198110694901,,-0.000732198110694901,-0.000732198110694901,-0.0010810784500645994,,-0.0010810784500645994,-0.0010810784500645994,-0.001525800235576899,,-0.001525800235576899,-0.001525800235576899,-0.0018746370472387999,,-0.0018746370472387999,-0.0018746370472387999,0.956802110561936,,0.956802110561936,0.956802110561936,0.9144043106492081,,0.9144043106492081,0.9144043106492081,10337.0,,10337,10337,2213.0,,2213,2213,2213.0,,2213,2213,1
lookback_10_horizon_10,10,10,persistence,0.0169498584356698,,0.0169498584356698,0.0169498584356698,0.0073018305868893,,0.0073018305868893,0.0073018305868893,0.0178256667730521,,0.0178256667730521,0.0178256667730521,0.0088033281776749,,0.0088033281776749,0.0088033281776749,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,10337.0,,10337,10337,2213.0,,2213,2213,2213.0,,2213,2213,1
lookback_10_horizon_50,10,50,cpmlp_dsconv_fusion,0.0456155978720576,,0.0456155978720576,0.0456155978720576,0.0199432530340842,,0.0199432530340842,0.0199432530340842,0.0417832375921851,,0.0417832375921851,0.0417832375921851,0.0268770698342923,,0.0268770698342923,0.0268770698342923,-0.017259818332475294,,-0.017259818332475294,-0.017259818332475294,-0.008106587377693202,,-0.008106587377693202,-0.008106587377693202,-0.0171409458832811,,-0.0171409458832811,-0.0171409458832811,-0.010627001821286904,,-0.010627001821286904,-0.010627001821286904,0.7254917840014079,,0.7254917840014079,0.7254917840014079,0.7091016816479444,,0.7091016816479444,0.7091016816479444,9833.0,,9833,9833,2105.0,,2105,2105,2105.0,,2105,2105,1
lookback_10_horizon_50,10,50,cpmlp,0.0504685426960587,,0.0504685426960587,0.0504685426960587,0.0203629520188601,,0.0203629520188601,0.0203629520188601,0.0450199539038888,,0.0450199539038888,0.0450199539038888,0.0272126028053197,,0.0272126028053197,0.0272126028053197,-0.012406873508474192,,-0.012406873508474192,-0.012406873508474192,-0.007686888392917299,,-0.007686888392917299,-0.007686888392917299,-0.0139042295715774,,-0.0139042295715774,-0.0139042295715774,-0.010291468850259503,,-0.010291468850259503,-0.010291468850259503,0.8026752861863403,,0.8026752861863403,0.8026752861863403,0.7640318668587645,,0.7640318668587645,0.7640318668587645,9833.0,,9833,9833,2105.0,,2105,2105,2105.0,,2105,2105,1
lookback_10_horizon_50,10,50,cpmlp_cpdsconv_fusion,0.0569061155751823,,0.0569061155751823,0.0569061155751823,0.0199957708352535,,0.0199957708352535,0.0199957708352535,0.0503045305811145,,0.0503045305811145,0.0503045305811145,0.0278784619356702,,0.0278784619356702,0.0278784619356702,-0.005969300629350596,,-0.005969300629350596,-0.005969300629350596,-0.008054069576523899,,-0.008054069576523899,-0.008054069576523899,-0.008619652894351702,,-0.008619652894351702,-0.008619652894351702,-0.009625609719909,,-0.009625609719909,-0.009625609719909,0.9050614534314566,,0.9050614534314566,0.9050614534314566,0.8537162097809875,,0.8537162097809875,0.8537162097809875,9833.0,,9833,9833,2105.0,,2105,2105,2105.0,,2105,2105,1
lookback_10_horizon_50,10,50,cpmlp_cpgru_fusion,0.0575570730230943,,0.0575570730230943,0.0575570730230943,0.019817749954176,,0.019817749954176,0.019817749954176,0.0504043653237497,,0.0504043653237497,0.0504043653237497,0.0280019071669873,,0.0280019071669873,0.0280019071669873,-0.0053183431814385965,,-0.0053183431814385965,-0.0053183431814385965,-0.008232090457601399,,-0.008232090457601399,-0.008232090457601399,-0.008519818151716499,,-0.008519818151716499,-0.008519818151716499,-0.009502164488591903,,-0.009502164488591903,-0.009502164488591903,0.9154145848651228,,0.9154145848651228,0.9154145848651228,0.8554105012712848,,0.8554105012712848,0.8554105012712848,9833.0,,9833,9833,2105.0,,2105,2105,2105.0,,2105,2105,1
lookback_10_horizon_50,10,50,cpgru,0.0578588896902438,,0.0578588896902438,0.0578588896902438,0.0192715937762815,,0.0192715937762815,0.0192715937762815,0.0511026888193956,,0.0511026888193956,0.0511026888193956,0.0274903355365411,,0.0274903355365411,0.0274903355365411,-0.005016526514289091,,-0.005016526514289091,-0.005016526514289091,-0.008778246635495899,,-0.008778246635495899,-0.008778246635495899,-0.007821494656070599,,-0.007821494656070599,-0.007821494656070599,-0.010013736119038101,,-0.010013736119038101,-0.010013736119038101,0.9202148181736023,,0.9202148181736023,0.9202148181736023,0.8672617218475811,,0.8672617218475811,0.8672617218475811,9833.0,,9833,9833,2105.0,,2105,2105,2105.0,,2105,2105,1
