average_MAE_improvement_percent_vs_cpmlp,average_MAE_improvement_vs_cpmlp,average_Skill_MAE_vs_cpmlp,average_Skill_MAE_vs_persistence,avg_MAE_mean,avg_MAPE_percent_mean,avg_RMSE_mean,batch_size,dropout,dsconv_channels,epochs,gru_embed_dim,gru_hidden,horizons_evaluated,lr,mlp_embed_dim,model,model_hidden,output_dir,patience,score,selected,selection_rule,size_preset,std_MAE_mean,weight_decay,worst_MAE_mean
,,,0.7764586461748562,0.003971410625485,0.461700472830175,0.0079205130014411,256,0.1,64,50,64,64,2,0.0006827516832793826,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0028,12,0.005602784534889939,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0020739475916268,1.628012948211658e-05,0.0054379130313498
,,,0.7742541134625821,0.0039945729556037,0.4638692489159023,0.0082585174639307,256,0.1,64,80,64,64,2,0.00028704607976500304,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0030,12,0.005620388347917291,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0020149880093792,1.1645968145430238e-06,0.0054193846410453
,,,0.7711573545670782,0.0040192346440101,0.4735661474587844,0.0081645125343789,128,0.2,64,80,64,64,2,0.0005200425717300329,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0021,12,0.00562658965057887,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0018930880222073,1.4694550984788623e-06,0.0053578500218959
,,,0.7750722672992671,0.003997492829959,0.4695015414655452,0.0080922707943068,256,0.2,64,50,64,64,2,0.0006964510346108782,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0046,12,0.00564094834569802,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0020940150227661,1.920160055035237e-06,0.0054781850524634
,,,0.7758571969863048,0.0039960369941014,0.4635657794252203,0.0079568820646555,64,0.2,64,80,64,64,2,0.0002414212888127406,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0025,12,0.0056506578121893695,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0021487076256134,3.6491123819275827e-06,0.0055154027269599
,,,0.7715943523492319,0.0040267663393374,0.4687627249697169,0.0081383105837939,64,0.05,64,50,64,64,2,0.00041829297312456277,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0031,8,0.00565162167021396,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0019649339164677,2.393507589505406e-05,0.0054161844362552
,,,0.7749313338360999,0.0040042569296735,0.4684216121093789,0.0082632786260477,64,0.1,64,80,64,64,2,0.0006804032387540249,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0007,12,0.00565450370308094,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0021164634368801,6.229673137443717e-05,0.0055008225780248
,,,0.7749788890339351,0.0040069185520881,0.471814757357476,0.0083799471411097,64,0.1,128,50,64,64,2,0.000829585112117115,128,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0036,12,0.00566156136853209,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,xlarge,0.0021334224799736,3.6116965138794112e-06,0.0055154760548133
,,,0.7740165660810676,0.0040193062956609,0.4681484828707319,0.0080625092697036,64,0.1,64,80,64,64,2,0.0007940871797318316,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0023,8,0.00567460261560516,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0021189842100496,6.231497408630873e-06,0.0055176543998142
,,,0.774927111685118,0.0040138434284106,0.4662044003121888,0.0082113211248779,64,0.05,64,50,64,64,2,0.0006315712005808558,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0010,8,0.00567698686619631,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0021637015392607,1.56752337271302e-07,0.0055438114592857
,,,0.7740125910081526,0.0040227092644428,0.4695860108616619,0.0085021100559658,64,0.1,128,80,64,64,2,0.00035161853344335426,128,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0047,12,0.00568254214248687,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,xlarge,0.0021355572254168,5.990846452195254e-05,0.0055327762601469
,,,0.7654863938615831,0.0040887189980951,0.4852694460393053,0.0087509668904819,256,0.3,64,80,64,64,2,0.0008174986404781691,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0020,12,0.005695168437294441,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0017905534207692,7.4812619305788145e-06,0.0053548314639978
,,,0.7727422484780843,0.0040463115302206,0.4729103816218967,0.008407385059504,64,0.1,64,80,64,64,2,0.00012762321483016879,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0027,12,0.00571681317498148,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0021524716296667,6.551716162272144e-07,0.0055683388158696
,,,0.7708806632001894,0.0040620069157281,0.4743219265006657,0.0083037758106384,256,0.1,64,50,64,64,2,9.726104423643701e-05,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0008,8,0.0057225884574921,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0020835111886209,2.6108770242422914e-07,0.00553527180588
,,,0.771733217654419,0.0040573005499219,0.4723485619213775,0.008934422521794,256,0.1,128,80,64,64,2,0.0005632733481673016,128,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0002,12,0.005725782111707591,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,xlarge,0.0021274080464991,1.1459852062471528e-06,0.0055616052059523
,,,0.7731068591818817,0.0040511790593387,0.4730701904177719,0.0082208230806066,64,0.05,128,50,64,64,2,0.00016219988476615164,128,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0017,12,0.0057343660221356,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,xlarge,0.0022053870666711,0.0002045762878523557,0.005610623209323
,,,0.7710198750501465,0.0040699356308739,0.4758720672518921,0.0082624219939968,128,0.05,64,50,64,64,2,0.00013726191628124696,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0015,12,0.00574357155385662,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0021338372353557,3.016722429009332e-06,0.0055787864099424
,,,0.7708602030095899,0.0040826793955171,0.4746678690705762,0.008092232548176,64,0.1,64,80,64,64,2,0.00015811994357333732,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0029,8,0.005770881495425019,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0021844804470936,8.636376358053627e-06,0.0056273403330264
,,,0.7677977513538286,0.0041059434536796,0.490314505835915,0.0082055953128432,64,0.3,64,80,64,64,2,0.00039007642166914377,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0033,12,0.005774368720708229,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0020583512162621,1.6989321692768488e-06,0.0055614175567621
,,,0.7613570709893424,0.0041925576360997,0.4940560221149368,0.0081952315254123,64,0.2,64,80,64,64,2,0.0008257294078684037,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0040,12,0.005870368200612101,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0019801029814179,1.0763317787422377e-05,0.005592701881708
,,,0.7654465475782746,0.0041676313593385,0.488142402970844,0.0085740392799392,256,0.1,64,50,64,64,2,0.0006559834483709059,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0049,8,0.005880155974403979,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0021789976637299,2.447818163879191e-06,0.0057084153835516
,,,0.7658956389997993,0.0041676478335662,0.4863834711055061,0.0087037705632577,128,0.1,128,80,64,64,2,0.00022540860524828654,128,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0009,12,0.005887709568988249,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,xlarge,0.002214504691752,1.5100727136930637e-07,0.0057335391180735
,,,0.7626730935796413,0.0042253126638452,0.4929547076740938,0.0086796691323523,256,0.2,64,50,64,64,2,0.0003004987359190157,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0000,12,0.0059694513491108,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0022464541367306,3.487351559952691e-07,0.005813795617552
,,,0.7555908753891436,0.0043641630152246,0.5043474413411557,0.0093770296214175,256,0.2,128,50,64,64,2,0.0005098483969585747,128,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0003,8,0.00617760988015313,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,xlarge,0.0023768119788786,0.00018482117991817722,0.0060448228830951
,,,0.7348123144042543,0.0047376799972272,0.5533094561134408,0.0094025961713128,64,0.3,64,50,64,64,2,0.00011963764382790327,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0001,8,0.0067086735519553495,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0025912614152258,1.3411788774467917e-05,0.0065699785157605
,,,0.709867300640507,0.0050975855776279,0.5963707298753498,0.0104765973747978,256,0.3,64,50,64,64,2,6.907803691475433e-05,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0006,8,0.0071379951515586106,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0024095083149235,1.2861247315164035e-07,0.0068013652464357
,,,0.7072229670881642,0.0051761310489312,0.6009562093609846,0.0108058150608443,256,0.3,64,50,64,64,2,6.0486899635169234e-05,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0005,8,0.007278537535308299,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0025906844921666,1.2059331694295413e-06,0.007008021621257
